From Module,To Module,Current Layer,Target Layer
backend.fastapi_main,backend.api.ai_memory_health_routes,other,api
backend.fastapi_main,backend.api.lambda_labs_health_routes,other,api
backend.fastapi_main,backend.api.deployment_status_routes,other,api
backend.fastapi_main,backend.services.unified_chat_service,other,core
backend.fastapi_main,backend.api.unified_health_routes,other,api
backend.main,backend.api,other,api
backend.core.self_optimization,backend.core.constitutional_ai,core,core
backend.core.config_manager,backend.core.auto_esc_config,core,core
backend.core.config_manager,backend.core.base,core,core
backend.core.enhanced_snowflake_config,backend.core.config_manager,core,core
backend.core.optimized_cache,backend.core.config_manager,core,core
backend.core.cache_manager,backend.core.enhanced_cache_manager,core,core
backend.core.optimized_connection_manager,backend.core.secure_snowflake_config,core,core
backend.core.optimized_connection_manager,backend.core.config_manager,core,core
backend.core.optimized_connection_manager,backend.core.performance_monitor,core,core
backend.core.enhanced_cache_manager,backend.core.hierarchical_cache,core,core
backend.core.enhanced_memory_architecture,backend.core.auto_esc_config,core,core
backend.core.snowflake_config_override,backend.core.config_manager,core,core
backend.core.unified_connection_manager,backend.core.config_manager,core,core
backend.core.cross_platform_sync_orchestrator,backend.utils.enhanced_snowflake_cortex_service,core,shared
backend.core.cross_platform_sync_orchestrator,backend.mcp_servers.base.standardized_mcp_server,core,infrastructure
backend.core.hierarchical_cache,backend.core.performance_monitor,core,core
backend.core.secure_snowflake_config,backend.core.config_manager,core,core
backend.core.auto_esc_config,backend.core.security_config,core,core
backend.core.optimized_database_manager,backend.core.aligned_snowflake_config,core,core
backend.core.optimized_database_manager,backend.core.config_manager,core,core
backend.core.security_config,backend.core.auto_esc_config,core,core
backend.core.dependencies,backend.services.enhanced_unified_chat_service,core,core
backend.core.dependencies,backend.core.cache_manager,core,core
backend.core.dependencies,backend.services.unified_chat_service,core,core
backend.core.snowflake_override,backend.core.config_manager,core,core
backend.app.app,backend.services.foundational_knowledge_service,other,core
backend.app.app,backend.services.unified_llm_service,other,core
backend.app.app,backend.services.unified_sophia_service,other,core
backend.app.app,backend.api,other,api
backend.app.core.dependencies,backend.services.enhanced_unified_chat_service,other,core
backend.app.core.dependencies,backend.services.mcp_orchestration_service,other,core
backend.security.secret_management,backend.core.config_manager,other,core
backend.security.rbac.service,backend.security.rbac.models,other,domain
backend.security.rbac.service,backend.security.audit_logger,other,infrastructure
backend.security.rbac.__init__,backend.security.rbac.dependencies,other,infrastructure
backend.security.rbac.__init__,backend.security.rbac.models,other,domain
backend.security.rbac.__init__,backend.security.rbac.service,other,infrastructure
backend.security.rbac.dependencies,backend.security.rbac.models,other,domain
backend.security.rbac.dependencies,backend.security.rbac.service,other,infrastructure
backend.security.rbac.dependencies,backend.security.audit_logger,other,infrastructure
backend.security.rbac.routes,backend.security.rbac.dependencies,other,infrastructure
backend.security.rbac.routes,backend.security.rbac.models,other,domain
backend.security.rbac.routes,backend.security.rbac.service,other,infrastructure
backend.security.rbac.routes,backend.security.audit_logger,other,infrastructure
backend.security.ephemeral_credentials.service,backend.security.ephemeral_credentials.models,other,domain
backend.security.ephemeral_credentials.service,backend.security.secret_management,other,infrastructure
backend.security.ephemeral_credentials.service,backend.security.audit_logger,other,infrastructure
backend.security.ephemeral_credentials.__init__,backend.security.ephemeral_credentials.models,other,domain
backend.security.ephemeral_credentials.__init__,backend.security.ephemeral_credentials.service,other,infrastructure
backend.security.ephemeral_credentials.__init__,backend.security.ephemeral_credentials.middleware,other,infrastructure
backend.security.ephemeral_credentials.middleware,backend.security.ephemeral_credentials.models,other,domain
backend.security.ephemeral_credentials.middleware,backend.security.ephemeral_credentials.service,other,infrastructure
